City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,La Serena,CL,-29.9078,-71.2542,53.11,87,0,2.3,clear sky
158,Carnarvon,AU,-24.8667,113.6333,61.84,50,22,18.68,few clouds
159,Hithadhoo,MV,-0.6,73.0833,81.72,75,44,8.16,scattered clouds
160,Rupert,US,42.6191,-113.6772,93.15,18,0,8.05,clear sky
161,Vardo,NO,70.3705,31.1107,51.78,93,100,0.0,overcast clouds
162,Norman Wells,CA,65.282,-126.8329,73.44,43,75,2.3,broken clouds
163,Abu Dhabi,AE,24.4667,54.3667,91.51,81,96,2.3,overcast clouds
164,Geraldton,AU,-28.7667,114.6,54.01,94,40,6.91,scattered clouds
165,Wenling,CN,28.3669,121.36,87.33,70,36,10.71,scattered clouds
166,Warrington,GB,53.3925,-2.5802,64.87,83,0,2.3,clear sky
167,North Platte,US,41.1239,-100.7654,89.49,41,0,9.22,clear sky
168,Sinnamary,GF,5.3833,-52.95,78.26,88,47,11.92,scattered clouds
169,Hebi,CN,35.8992,114.1925,72.41,79,91,4.63,overcast clouds
170,Lao Cai,VN,22.4833,103.95,84.97,71,6,2.35,clear sky
171,Neuquen,AR,-38.9516,-68.0591,37.29,93,0,0.0,clear sky
172,Ndele,CF,8.4109,20.6473,68.88,99,100,1.45,moderate rain
173,Jutai,BR,-5.1833,-68.9,74.68,86,100,1.59,overcast clouds
174,Chokurdakh,RU,70.6333,147.9167,63.82,48,4,8.52,clear sky
175,Dicabisagan,PH,17.0818,122.4157,85.68,71,100,7.27,light rain
176,San Patricio,US,28.017,-97.5169,88.16,66,16,11.83,few clouds
177,Bonavista,CA,48.6499,-53.1147,55.56,89,100,19.69,light rain
178,Berlevag,NO,70.8578,29.0864,51.75,82,100,5.75,overcast clouds
179,Cidreira,BR,-30.1811,-50.2056,54.97,90,100,16.28,light rain
180,Sarangani,PH,5.4033,125.4636,82.36,72,53,6.06,broken clouds
181,Tambacounda,SN,13.7539,-13.7586,79.25,89,100,8.68,overcast clouds
182,Alyangula,AU,-13.8483,136.4192,79.43,67,2,4.9,clear sky
183,Natal,BR,-5.795,-35.2094,77.22,88,20,4.61,few clouds
184,La Grande,US,45.3246,-118.0877,76.98,57,100,5.86,overcast clouds
185,Bulgan,MN,48.8125,103.5347,64.27,71,22,2.37,few clouds
186,Balabac,PH,7.9868,117.0645,84.99,69,56,7.38,broken clouds
187,Vanimo,PG,-2.6741,141.3028,76.41,89,100,6.96,light rain
188,Naze,JP,28.3667,129.4833,85.12,69,23,5.23,few clouds
189,Hualmay,PE,-11.0964,-77.6139,61.65,83,21,7.78,few clouds
190,Kruisfontein,ZA,-34.0033,24.7314,53.89,95,99,10.38,overcast clouds
