City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Singapore,SG,2022-08-07 18:50:42,1.2897,103.8501,84.2,82,75,6.91
269,Berlevag,NO,2022-08-07 18:51:15,70.8578,29.0864,49.95,81,75,19.57
270,Nola,IT,2022-08-07 18:51:15,40.922,14.5329,86.41,82,43,3.49
271,Ponta Do Sol,PT,2022-08-07 18:51:15,32.6667,-17.1,75.7,76,0,3.67
272,Hamilton,US,2022-08-07 18:50:48,39.1834,-84.5333,92.19,63,40,8.05
273,Oulainen,FI,2022-08-07 18:51:16,64.2667,24.8,53.82,84,99,6.46
274,Novyy Urengoy,RU,2022-08-07 18:51:16,66.0833,76.6333,63.21,84,100,8.72
275,Vila Velha,BR,2022-08-07 18:51:16,-20.3297,-40.2925,82.35,77,0,17.27
276,Eskisehir,TR,2022-08-07 18:51:33,39.7767,30.5206,68.59,71,15,8.28
277,Cyangugu,RW,2022-08-07 18:52:17,-2.4846,28.9075,63.75,68,74,3.62
278,Kurchum,KZ,2022-08-07 18:52:17,48.5722,83.6542,66.31,37,9,2.21
279,Kloulklubed,PW,2022-08-07 18:52:17,7.0419,134.2556,81.36,78,100,6.49
280,Poum,NC,2022-08-07 18:52:18,-20.2333,164.0167,74.16,86,0,9.84
281,Vulcanesti,MD,2022-08-07 18:52:18,45.6842,28.4028,80.58,47,8,15.97
282,Sechura,PE,2022-08-07 18:52:19,-5.5569,-80.8222,76.24,55,13,14.41
283,Mnogovershinnyy,RU,2022-08-07 18:52:19,53.9353,139.9242,55.92,99,96,3.4
284,Ilulissat,GL,2022-08-07 18:52:19,69.2167,-51.1,39.38,89,58,4.03
285,Altamira,BR,2022-08-07 18:52:20,-3.2033,-52.2064,98.69,41,40,4.61
286,Huambo,AO,2022-08-07 18:52:20,-12.7761,15.7392,64.98,20,0,3.27
287,Mana,GF,2022-08-07 18:52:20,5.6592,-53.7767,83.98,67,99,8.97
288,Halifax,CA,2022-08-07 18:50:43,44.6453,-63.5724,89.49,73,98,16.11
289,Sal Rei,CV,2022-08-07 18:52:21,16.1833,-22.9167,84.4,79,75,9.22
290,North Platte,US,2022-08-07 18:52:21,41.1239,-100.7654,71.11,83,100,14.0
291,Samarai,PG,2022-08-07 18:52:22,-10.6167,150.6667,79.45,77,75,13.49
292,Tiksi,RU,2022-08-07 18:52:22,71.6872,128.8694,44.69,97,100,3.4
